Iteration,Theta,M,X,Error
1,1,-0.05,0,99616.0932195953
2,1,-0.05,2,96617.96987705772
3,1,-0.05,4,93637.11747331645
4,1,-0.05,6,90675.60588955357
5,1,-0.05,8,87753.69308053717
6,1,-0.05,10,84866.39430343737
7,1,-0.05,12,82034.85219079372
8,1,-0.05,14,79265.7564555696
9,1,-0.05,16,76548.00938215415
10,1,-0.05,18,73924.0109469965
11,1,-0.05,20,71403.68643299327
12,1,-0.05,22,68990.40924233981
13,1,-0.05,24,66671.77850938012
14,1,-0.05,26,64439.15241238965
15,1,-0.05,28,62313.86426354522
16,1,-0.05,30,60316.04029429625
17,1,-0.05,32,58455.984732601224
18,1,-0.05,34,56769.79440100285
19,1,-0.05,36,55260.96222918731
20,1,-0.05,38,53926.55479040209
21,1,-0.05,40,52763.12825002652
22,1,-0.05,42,51831.27342783382
23,1,-0.05,44,51070.872065118914
24,1,-0.05,46,50473.6994906478
25,1,-0.05,48,50067.74002103538
26,1,-0.05,50,49849.34468227519
27,1,-0.05,52,49820.28101447201
28,2,-0.05,46,49607.081064210164
29,2,-0.05,48,49199.435347204955
30,2,-0.05,50,48979.67340266216
31,2,-0.05,52,48949.210021947685
32,3,-0.05,46,48739.00059348336
33,3,-0.05,48,48328.54130346849
34,3,-0.05,50,48106.46441644283
35,3,-0.05,52,48073.60750002757
36,4,-0.05,46,47869.79418455671
37,4,-0.05,48,47455.3330007817
38,4,-0.05,50,47230.094253038056
39,4,-0.05,52,47193.85529342409
40,5,-0.05,46,47008.803668847715
41,5,-0.05,48,46589.33018398806
42,5,-0.05,50,46359.91581957869
43,5,-0.05,52,46319.2635719455
44,6,-0.05,46,46208.720870107456
45,6,-0.05,48,45783.12037229246
46,6,-0.05,50,45548.58678721201
47,6,-0.05,52,45502.698785421744
48,7,-0.05,46,45476.11009197652
49,7,-0.05,48,45043.28376056347
50,7,-0.05,50,44802.24048869906
51,7,-0.05,52,44750.407959904915
52,8,-0.05,48,44353.90455716358
53,8,-0.05,50,44105.511596860764
54,8,-0.05,52,44046.737315671184
55,9,-0.05,48,43717.28491334017
56,9,-0.05,50,43460.6630143161
57,9,-0.05,52,43394.10572304508
58,10,-0.05,48,43127.12442755913
59,10,-0.05,50,42861.933115703534
60,10,-0.05,52,42785.85882308309
61,11,-0.05,48,42579.63336962517
62,11,-0.05,50,42305.34043905263
63,11,-0.05,52,42217.961574727204
64,12,-0.05,48,42064.333472243794
65,12,-0.05,50,41778.80876645575
66,12,-0.05,52,41679.656565414174
67,13,-0.05,48,41580.399666973346
68,13,-0.05,50,41282.652263241085
69,13,-0.05,52,41171.263401913035
70,14,-0.05,48,41133.616663699606
71,14,-0.05,50,40823.4287529898
72,14,-0.05,52,40698.97459645719
73,15,-0.05,50,40393.62078005885
74,15,-0.05,52,40254.69293606198
75,16,-0.05,50,40006.01572982475
76,16,-0.05,52,39851.48975734472
77,16,-0.02499999999999998,52,39851.40391664026
78,16,-0.02399999999999998,52,39851.25854397058
79,16,-0.02299999999999998,52,39851.12429233853
80,16,-0.021999999999999978,52,39850.99542123664
81,16,-0.020999999999999977,52,39850.84793366892
82,16,-0.019999999999999976,52,39850.67555197922
83,16,-0.018999999999999975,52,39850.47575631274
84,16,-0.017999999999999974,52,39850.29611794138
85,16,-0.016999999999999973,52,39850.10854301405
86,16,-0.015999999999999973,52,39849.91177813345
87,16,-0.014999999999999972,52,39849.71192714346
88,16,-0.01399999999999997,52,39849.53387187041
89,16,-0.01299999999999997,52,39849.414112774626
90,16,-0.011999999999999969,52,39849.26957700148
91,16,-0.010999999999999968,52,39849.11884828664
92,16,-0.009999999999999967,52,39849.05433229536
93,16,-0.008999999999999966,52,39848.98338171132
94,16,-0.007999999999999965,52,39848.89642547337
95,16,-0.006999999999999965,52,39848.8612472855
96,17,-0.05,50,39677.9246851555
97,17,-0.05,52,39507.25165661947
98,17,-0.049,52,39507.21776887349
99,17,-0.048,52,39507.17050743115
100,17,-0.047,52,39507.10898507702
101,17,-0.046,52,39507.03226589128
102,17,-0.045,52,39506.939362668534
103,17,-0.044,52,39506.83479033115
104,17,-0.043,52,39506.71490678805
105,17,-0.041999999999999996,52,39506.57603778574
106,17,-0.040999999999999995,52,39506.41699101597
107,17,-0.039999999999999994,52,39506.23650944175
108,17,-0.03899999999999999,52,39506.04103951309
109,17,-0.03799999999999999,52,39505.83176430197
110,17,-0.03699999999999999,52,39505.597804616256
111,17,-0.03599999999999999,52,39505.33765843985
112,17,-0.03499999999999999,52,39505.04974270081
113,17,-0.03399999999999999,52,39504.73238899186
114,17,-0.03299999999999999,52,39504.38383906502
115,17,-0.03199999999999999,52,39504.00224008825
116,17,-0.030999999999999986,52,39503.600098239884
117,17,-0.029999999999999985,52,39503.16754517516
118,17,-0.028999999999999984,52,39502.70796241356
119,17,-0.027999999999999983,52,39502.22186779443
120,17,-0.026999999999999982,52,39501.69403570493
121,17,-0.02599999999999998,52,39501.12203319919
122,17,-0.02499999999999998,52,39500.50329666829
123,17,-0.02399999999999998,52,39499.8351249235
124,17,-0.02299999999999998,52,39499.11467191308
125,17,-0.021999999999999978,52,39498.34531334827
126,17,-0.020999999999999977,52,39497.57187577695
127,17,-0.019999999999999976,52,39496.74875134796
128,17,-0.018999999999999975,52,39495.8970956017
129,17,-0.017999999999999974,52,39494.98446826538
130,17,-0.016999999999999973,52,39494.005081128314
131,17,-0.015999999999999973,52,39492.955164712606
132,17,-0.014999999999999972,52,39491.84538674167
133,17,-0.01399999999999997,52,39490.706154236774
134,17,-0.01299999999999997,52,39489.53498110057
135,17,-0.011999999999999969,52,39488.282444033364
136,17,-0.010999999999999968,52,39486.98213593696
137,17,-0.009999999999999967,52,39485.68699034346
138,17,-0.008999999999999966,52,39484.30699680212
139,17,-0.007999999999999965,52,39482.83820782506
140,17,-0.006999999999999965,52,39481.269761862524
141,17,-0.005999999999999964,52,39479.59610991178
142,17,-0.004999999999999963,52,39477.81266118679
143,17,-0.003999999999999962,52,39476.077895259245
144,17,-0.002999999999999961,52,39474.233979080964
145,17,-0.00199999999999996,52,39472.41946338264
146,17,-0.0009999999999999593,52,39470.7214771604
147,17,4.163336342344337e-17,52,39469.043034424
148,17,0.0010000000000000425,52,39467.43904599535
